strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option3_rewire,2.0,50,0.9502,13613.9172,9612.5076,78.7088,78.7088,58.11,1058.6012,188.93,800
option3_rewire,2.0,100,0.9728,13613.9172,9612.5076,78.7088,78.7088,107.4738,1774.1838,278.1688,800
option3_rewire,2.0,200,0.9855,13613.9172,9612.5076,78.7088,78.7088,207.045,3064.0425,417.2238,800
option3_rewire,2.0,500,0.9941,13613.9172,9612.5076,78.7088,78.7088,506.6238,6385.2962,758.89,800
option3_rewire,3.0,10,0.7969,14673.9942,6938.6711,131.5188,35.295,14.1438,291.6788,38.6862,800
option3_rewire,3.0,20,0.8751,16108.7539,16108.7539,0.0,0.0,32.7275,659.6013,177.3412,800
option3_rewire,3.0,50,0.9413,13263.7628,9780.6052,73.9212,73.9212,59.1075,1082.5562,194.0562,800
option3_rewire,3.0,100,0.9679,13263.7628,9780.6052,73.9212,73.9212,108.5462,1803.3038,286.5938,800
option3_rewire,3.0,200,0.9835,13263.7628,9780.6052,73.9212,73.9212,208.47,3100.9238,430.9888,800
option3_rewire,3.0,500,0.9942,13263.7628,9780.6052,73.9212,73.9212,508.4688,6441.2375,782.5675,800
option3_rewire,4.0,10,0.7736,14924.5887,7271.35,130.2912,34.44,14.2362,294.3038,38.9487,800
option3_rewire,4.0,20,0.8435,12993.1081,10076.7731,67.5725,67.5725,29.6675,602.8488,111.365,800
option3_rewire,4.0,50,0.9266,12993.1081,10077.5787,67.555,67.555,59.8862,1104.2388,200.8562,800
option3_rewire,4.0,100,0.9585,12993.1081,10077.5787,67.555,67.555,109.5675,1837.4088,298.795,800
option3_rewire,4.0,200,0.9821,12993.1081,10077.5787,67.555,67.555,210.3412,3149.9762,449.92,800
option3_rewire,4.0,500,0.9926,12993.1081,10077.5787,67.555,67.555,509.5625,6512.0938,808.655,800
option3_rewire,6.0,10,0.7071,15664.2765,7967.254,131.7525,35.4362,14.5625,302.6375,37.9425,800
option3_rewire,6.0,20,0.7744,12690.2976,10589.5211,56.965,56.965,31.025,639.3938,110.91,800
option3_rewire,6.0,50,0.8785,12690.2976,10589.5211,56.965,56.965,61.3688,1153.3212,209.07,800
option3_rewire,6.0,100,0.9375,12690.2976,10589.5211,56.965,56.965,112.4125,1922.7225,320.345,800
option3_rewire,6.0,200,0.9701,12690.2976,10589.5211,56.965,56.965,212.9388,3262.6887,485.825,800
option3_rewire,6.0,500,0.9865,12690.2976,10589.5211,56.965,56.965,512.1662,6705.3162,865.875,800
option3_rewire,8.0,10,0.5371,12705.4857,11343.1902,45.37,45.37,19.7175,433.67,58.28,800
option3_rewire,8.0,20,0.6766,12705.4857,11343.2061,45.3562,45.3562,31.3525,657.9425,107.4175,800
option3_rewire,8.0,50,0.8224,12705.4857,11343.2061,45.3562,45.3562,63.3288,1216.2725,214.2112,800
option3_rewire,8.0,100,0.8905,12705.4857,11343.2061,45.3562,45.3562,113.6712,1994.4225,335.4337,800
option3_rewire,8.0,200,0.937,12705.4857,11343.2061,45.3562,45.3562,214.185,3392.7775,516.43,800
option3_rewire,8.0,500,0.9729,12705.4857,11343.2061,45.3562,45.3562,516.16,6994.1238,932.535,800
option3_rewire,10.0,10,0.4368,12769.3643,12769.3643,0.0,0.0,20.2125,459.0462,61.79,800
option3_rewire,10.0,20,0.5706,13038.6725,12104.0173,37.6388,37.6388,31.4538,670.9862,101.0012,800
option3_rewire,10.0,50,0.7379,13038.6725,12104.0173,37.6388,37.6388,64.0725,1258.145,210.965,800
option3_rewire,10.0,100,0.8226,13038.6725,12104.0173,37.6388,37.6388,114.9825,2078.6488,341.7388,800
option3_rewire,10.0,200,0.8865,13038.6725,12104.0173,37.6388,37.6388,216.2125,3545.3362,538.7288,800
option3_rewire,10.0,500,0.9544,13038.6725,12104.0173,37.6388,37.6388,521.98,7396.4262,999.41,800
option3_rewire,12.0,10,0.3619,13314.4316,13314.4316,0.0,0.0,19.4475,445.2488,54.4062,800
option3_rewire,12.0,20,0.4839,13689.8578,13058.6865,31.2888,31.2888,31.3275,682.79,94.3488,800
option3_rewire,12.0,50,0.6554,13689.8578,13058.6865,31.2888,31.2888,63.97,1285.0825,203.9112,800
option3_rewire,12.0,100,0.7596,13689.8578,13058.6865,31.2888,31.2888,115.2875,2147.5025,339.415,800
option3_rewire,12.0,200,0.8408,13689.8578,13058.6865,31.2888,31.2888,216.7612,3682.065,551.3825,800
option3_rewire,12.0,500,0.909,13689.8578,13058.6865,31.2888,31.2888,519.3038,7711.8338,1040.5875,800
option3_rewire,16.0,10,0.2425,15358.562,15358.562,0.0,0.0,16.99,396.6175,43.46,800
option3_rewire,16.0,20,0.3581,15946.2243,15630.8025,23.8138,23.8138,29.8962,670.9488,81.9137,800
option3_rewire,16.0,50,0.515,15946.2243,15630.8025,23.8138,23.8138,61.2488,1293.4062,183.7688,800
option3_rewire,16.0,100,0.6391,15946.2243,15630.8025,23.8138,23.8138,111.3788,2214.0775,319.765,800
