strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option2_promotion,3.0,100,0.9697,13263.7628,9940.1312,70.3188,70.3188,108.5325,1802.9188,291.3188,800
option2_promotion,3.0,200,0.9832,13263.7628,9940.1312,70.3188,70.3188,208.0188,3094.7975,434.7838,800
option2_promotion,3.0,500,0.9939,13263.7628,9940.1312,70.3188,70.3188,508.07,6436.945,783.7275,800
option2_promotion,4.0,10,0.7872,17525.8355,7022.9485,135.17,35.2138,13.9012,285.6675,36.9712,800
option2_promotion,4.0,20,0.8459,12993.1081,10163.1858,65.6338,65.6338,29.6388,604.5675,112.3612,800
option2_promotion,4.0,50,0.9279,12993.1081,10163.1858,65.6338,65.6338,59.955,1108.1725,203.9875,800
option2_promotion,4.0,100,0.9634,12993.1081,10163.1858,65.6338,65.6338,109.8688,1840.25,302.75,800
option2_promotion,4.0,200,0.9822,12993.1081,10163.1858,65.6338,65.6338,209.805,3144.6912,453.565,800
option2_promotion,4.0,500,0.9924,12993.1081,10163.1858,65.6338,65.6338,509.175,6509.4962,812.6338,800
option2_promotion,6.0,10,0.7184,18456.0985,7960.0219,132.6338,34.2012,14.6088,303.28,37.78,800
option2_promotion,6.0,20,0.7665,12690.2976,10712.8394,54.4012,54.4012,30.985,639.7775,112.2838,800
option2_promotion,6.0,50,0.8766,12690.2976,10712.8394,54.4012,54.4012,61.7825,1163.5938,212.875,800
option2_promotion,6.0,100,0.9356,12690.2976,10712.8394,54.4012,54.4012,112.7288,1932.3725,325.0462,800
option2_promotion,6.0,200,0.9716,12690.2976,10712.8394,54.4012,54.4012,213.57,3274.3638,491.535,800
option2_promotion,6.0,500,0.9886,12690.2976,10712.8394,54.4012,54.4012,512.4175,6704.82,874.5925,800
option2_promotion,8.0,10,0.6349,19704.3602,9119.7594,130.6038,33.2675,15.3438,322.3988,38.9275,800
option2_promotion,8.0,20,0.6778,12705.4857,11274.0425,45.7112,45.7112,31.63,662.6525,107.0388,800
option2_promotion,8.0,50,0.8239,12705.4857,11274.0425,45.7112,45.7112,63.3225,1214.32,213.3538,800
