query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
31,0.0,0.9,221.26150512695312,164.75723266601562,71,204,4823,539,204
32,0.0,0.7,237.2958526611328,178.2016143798828,55,204,5020,542,204
33,0.0,0.9,262.0357666015625,222.65447998046875,61,208,5078,613,208
34,0.0,0.7,241.6371307373047,166.39569091796875,76,200,4825,575,200
35,0.0,0.5,262.0942077636719,203.8689422607422,87,216,5054,577,216
36,0.0,1.0,273.4197998046875,194.75027465820312,49,203,4949,547,203
37,0.0,0.7,297.6165771484375,203.37905883789062,68,203,4948,553,203
38,0.0,0.9,258.8476867675781,203.46334838867188,57,202,4879,561,202
39,0.0,0.8,227.8443603515625,181.06521606445312,103,202,4934,538,202
40,0.0,0.8,309.5248107910156,182.74298095703125,88,202,4816,544,202
41,0.0,0.8,279.6526184082031,183.28659057617188,75,201,4796,536,201
42,0.0,0.7,263.43963623046875,190.03208923339844,49,201,4795,517,201
43,0.0,0.7,210.9066162109375,175.4669952392578,109,205,4931,542,205
44,0.0,0.6,306.6179504394531,187.50357055664062,92,209,4969,546,209
45,0.0,0.8,254.3153533935547,182.44384765625,45,203,4879,595,203
46,0.0,0.8,278.49468994140625,156.4692840576172,76,201,4878,532,201
47,0.0,0.9,206.4932098388672,150.98825073242188,88,200,4788,507,200
48,0.0,1.0,249.74502563476562,182.00050354003906,82,201,4815,542,201
49,0.0,0.6,276.4617004394531,189.03579711914062,55,202,4914,550,202
50,0.0,0.6,238.5823516845703,179.5785369873047,73,200,4873,522,200
51,0.0,0.9,304.6512451171875,162.35548400878906,108,201,4897,507,201
52,0.0,0.6,223.23049926757812,204.3916473388672,59,204,4921,593,204
53,0.0,1.0,319.6322326660156,205.78701782226562,94,203,4869,569,203
54,0.0,0.9,246.47579956054688,198.92855834960938,52,202,4800,565,202
55,0.0,0.6,245.81753540039062,172.4996795654297,86,206,4892,572,206
56,0.0,0.8,272.7555236816406,154.430419921875,91,201,4772,515,201
57,0.0,0.5,252.47012329101562,179.41238403320312,71,203,4866,507,203
58,0.0,0.6,261.7354431152344,181.00958251953125,71,200,4894,562,200
59,0.0,0.8,264.0056457519531,192.607666015625,81,201,4733,558,201
60,0.0,0.9,267.3225402832031,179.1109161376953,81,200,4818,531,200
61,0.0,0.7,263.23101806640625,184.34173583984375,63,201,4843,545,201
62,0.0,0.8,258.0623779296875,194.60345458984375,47,203,4858,509,203
63,0.0,0.6,251.6269989013672,161.7368621826172,79,200,4876,537,200
64,0.0,0.6,253.0395050048828,158.3094024658203,161,205,4873,512,205
65,0.0,0.6,279.43560791015625,171.6361846923828,95,200,4830,531,200
66,0.0,0.6,282.6322326660156,192.49826049804688,63,200,4791,502,200
67,0.0,0.8,242.1190948486328,166.6089324951172,102,200,4744,495,200
68,0.0,0.8,234.3173828125,177.08644104003906,76,202,4921,543,202
69,0.0,0.7,292.795654296875,180.20303344726562,92,207,4972,554,207
70,0.0,0.9,226.85487365722656,169.46144104003906,57,203,4965,547,203
71,0.0,0.9,247.12380981445312,200.8538818359375,102,201,4836,549,201
72,0.0,0.8,257.56353759765625,179.3482208251953,81,200,4873,497,200
73,0.0,0.7,243.56527709960938,171.91848754882812,121,202,4904,571,202
74,0.0,0.7,263.80645751953125,185.7887420654297,103,202,4942,553,202
75,0.0,0.9,238.6905059814453,163.24777221679688,83,201,4914,518,201
76,0.0,0.9,247.67149353027344,167.86146545410156,66,204,4988,561,204
77,0.0,0.7,261.41961669921875,164.834228515625,71,203,4887,535,203
78,0.0,0.6,227.21498107910156,186.10299682617188,66,201,4964,556,201
79,0.0,0.9,238.8705596923828,164.1481170654297,57,201,4787,540,201
80,0.0,0.8,258.8111572265625,165.4102020263672,61,208,5019,554,208
81,0.0,0.8,282.0606994628906,178.22232055664062,96,202,4877,569,202
82,0.0,0.4,300.2552185058594,185.07907104492188,92,203,4839,565,203
83,0.0,0.5,294.7469787597656,193.93682861328125,103,200,4840,527,200
84,0.0,0.5,257.6546325683594,201.14976501464844,45,200,4757,577,200
85,0.0,0.7,261.2806701660156,177.5397491455078,52,201,4827,529,201
86,0.0,0.9,255.64178466796875,167.85873413085938,98,201,4823,530,201
87,0.0,0.6,267.18316650390625,179.33119201660156,95,202,4940,540,202
88,0.0,0.8,260.1509704589844,183.12353515625,81,200,4827,524,200
89,0.0,0.7,284.0450134277344,175.2688751220703,66,200,4774,499,200
90,0.0,0.9,275.4136657714844,189.10333251953125,85,204,4971,551,204
91,0.0,0.7,283.4463806152344,174.50303649902344,44,200,4924,602,200
92,0.0,0.9,260.95245361328125,190.78640747070312,67,201,4791,572,201
