query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
195,0.0,0.6,273.6022033691406,210.5299072265625,78,202,4852,546,202,0,45,16,17,0,0
196,0.0,0.7,264.0135803222656,189.7464599609375,100,200,4825,577,200,0,64,16,20,0,0
197,0.0,0.7,265.6012878417969,202.27964782714844,71,201,4932,579,201,0,16,31,24,0,0
198,0.0,0.9,286.5303039550781,202.48587036132812,50,204,4975,621,204,0,16,27,7,0,0
199,0.0,0.8,255.984375,186.66676330566406,91,201,4853,606,201,0,48,31,12,0,0
0,0.5,0.8,263.77398681640625,186.70614624023438,107,200,4847,574,200,0,64,31,12,0,0
1,0.5,0.7,274.4251403808594,201.5300750732422,83,201,4867,584,201,0,48,15,20,0,0
2,0.5,0.8,251.57562255859375,189.37901306152344,59,203,4914,569,203,0,16,31,12,0,0
3,0.5,0.7,253.5325927734375,195.96380615234375,64,206,4939,534,206,0,29,23,12,0,0
4,0.5,0.4,295.3053283691406,211.69847106933594,62,206,4893,518,206,0,16,32,14,0,0
5,0.5,0.7,247.3252410888672,200.53236389160156,65,200,4844,549,200,0,32,15,18,0,0
6,0.5,0.5,284.65240478515625,212.2748565673828,59,200,4766,565,200,0,32,15,12,0,0
7,0.5,0.4,304.9697265625,204.2880859375,65,205,4980,589,205,0,15,22,28,0,0
8,0.5,0.9,313.1733093261719,224.84095764160156,43,201,4877,589,201,0,16,15,12,0,0
9,0.5,0.6,278.917236328125,200.90371704101562,59,200,4816,595,200,0,32,11,16,0,0
10,0.5,0.7,290.60986328125,225.1380615234375,81,206,4952,552,206,0,48,15,18,0,0
11,0.5,0.7,307.5277404785156,215.59747314453125,59,205,4925,523,205,0,16,31,12,0,0
12,0.5,0.5,256.0612487792969,218.3605499267578,90,202,5025,591,202,0,32,42,16,0,0
13,0.5,0.9,308.88238525390625,180.27366638183594,85,201,4812,543,201,0,14,59,12,0,0
14,0.5,0.7,287.5832824707031,214.17918395996094,71,209,4977,562,209,0,13,46,12,0,0
15,0.5,0.6,249.3924560546875,219.6437225341797,74,202,4959,568,202,0,16,46,12,0,0
16,0.5,0.5,308.462158203125,201.7760772705078,58,202,4891,573,202,0,16,30,12,0,0
17,0.5,0.8,353.1395263671875,230.04005432128906,75,201,4869,547,201,0,16,31,28,0,0
18,0.5,0.8,231.77394104003906,192.55294799804688,73,201,4884,572,201,0,16,55,2,0,0
19,0.5,0.4,303.75213623046875,224.06646728515625,57,213,5124,566,213,0,16,29,12,0,0
20,0.5,0.2,260.7763977050781,189.9153594970703,65,207,5006,562,207,0,32,15,18,0,0
21,0.5,0.5,275.97314453125,216.44114685058594,58,201,4874,556,201,0,16,30,12,0,0
22,0.5,0.8,211.9054718017578,211.9054718017578,27,201,4808,559,201,0,14,11,2,0,0
23,0.5,0.7,279.185546875,205.08181762695312,60,203,4913,607,203,0,16,42,2,0,0
24,0.5,0.6,284.60296630859375,226.9800262451172,83,207,4946,562,207,0,16,53,14,0,0
25,0.5,0.9,322.71466064453125,200.08721923828125,66,200,4826,549,200,0,16,39,11,0,0
26,0.5,1.0,255.43179321289062,159.36080932617188,84,203,5000,507,203,0,32,32,20,0,0
27,0.5,0.4,296.8677062988281,218.48033142089844,73,201,4724,565,201,0,32,29,12,0,0
28,0.5,0.5,292.1471862792969,213.77886962890625,75,200,4812,570,200,0,48,15,12,0,0
29,0.5,1.0,219.55227661132812,186.6231231689453,46,204,4986,593,204,0,16,9,21,0,0
30,0.5,0.6,248.5279998779297,198.946533203125,75,201,4795,581,201,0,62,11,2,0,0
31,0.5,0.8,293.32720947265625,197.24093627929688,105,200,4807,530,200,0,48,14,43,0,0
32,0.5,0.7,270.13128662109375,186.95359802246094,122,200,4855,560,200,0,48,46,28,0,0
33,0.5,0.8,278.2529296875,218.0487823486328,59,209,5025,566,209,0,32,15,12,0,0
34,0.5,0.9,222.47100830078125,179.9121551513672,75,202,4808,508,202,0,48,15,12,0,0
35,0.5,0.8,297.9161071777344,229.78773498535156,59,201,4869,544,201,0,32,15,12,0,0
36,0.5,0.6,278.81842041015625,213.43820190429688,107,200,4868,511,200,0,64,31,12,0,0
37,0.5,0.8,297.08233642578125,251.93130493164062,75,203,4820,556,203,0,46,14,15,0,0
38,0.5,0.8,309.2671813964844,235.5899658203125,59,203,4839,595,203,0,32,15,12,0,0
39,0.5,0.7,262.37103271484375,204.95176696777344,80,203,4870,552,203,0,16,46,18,0,0
40,0.5,0.8,284.0371398925781,209.22235107421875,75,200,4859,586,200,0,48,15,12,0,0
41,0.5,0.3,303.0704650878906,220.26828002929688,66,204,4938,570,204,0,16,16,34,0,0
42,0.5,0.6,258.80316162109375,195.44241333007812,85,205,4938,592,205,0,32,51,2,0,0
43,0.5,0.6,336.143310546875,257.1794128417969,53,202,4833,606,202,0,15,11,27,0,0
44,0.5,0.9,302.9471130371094,209.30812072753906,74,200,4947,596,200,0,32,14,28,0,0
45,0.5,0.6,331.72674560546875,222.38198852539062,114,210,4851,521,210,0,64,30,20,0,0
46,0.5,0.8,283.68170166015625,205.29087829589844,83,205,4830,544,205,0,16,47,20,0,0
47,0.5,0.8,270.87835693359375,227.54673767089844,55,200,4805,584,200,0,28,15,12,0,0
48,0.5,0.7,250.73838806152344,204.47900390625,59,218,5216,550,218,0,32,15,12,0,0
49,0.5,0.7,301.83917236328125,240.54010009765625,49,201,4845,557,201,0,16,15,18,0,0
50,0.5,0.7,326.8313903808594,242.4972686767578,59,200,4758,557,200,0,32,15,12,0,0
51,0.5,0.7,267.8608703613281,204.39767456054688,57,200,4860,509,200,0,16,29,12,0,0
52,0.5,0.6,322.2137451171875,232.14697265625,65,202,4866,552,202,0,32,15,18,0,0
53,0.5,0.6,288.2181701660156,194.34490966796875,123,201,4858,551,201,0,48,63,12,0,0
54,0.5,0.6,287.25732421875,239.40261840820312,43,200,4910,502,200,0,16,15,12,0,0
55,0.5,0.7,321.9453430175781,237.2364959716797,64,203,4985,599,203,0,16,30,18,0,0
56,0.5,0.6,265.6997375488281,217.89007568359375,104,203,4933,582,203,0,16,72,16,0,0
57,0.5,0.9,298.3760681152344,221.4921112060547,74,202,4789,566,202,0,16,46,12,0,0
