query_id,distribution,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps
161,out_of_distribution,0.8,761.707275390625,676.8137817382812,42,51,806
162,out_of_distribution,1.0,807.4375610351562,807.4375610351562,19,53,773
163,out_of_distribution,0.9,936.07666015625,936.07666015625,19,55,823
164,out_of_distribution,1.0,799.8591918945312,702.2858276367188,42,52,810
165,out_of_distribution,0.7,847.3823852539062,773.1327514648438,42,53,804
166,out_of_distribution,0.8,767.29345703125,697.1849975585938,34,51,786
167,out_of_distribution,0.9,758.6978759765625,711.0335693359375,33,51,801
168,out_of_distribution,1.0,914.0612182617188,804.9169311523438,42,51,775
169,out_of_distribution,1.0,843.3397216796875,746.8372192382812,42,52,806
170,out_of_distribution,0.9,758.2584228515625,677.5797119140625,42,50,736
171,out_of_distribution,0.9,798.1929931640625,711.691650390625,42,50,738
172,out_of_distribution,1.0,766.6444091796875,679.1300048828125,42,52,753
173,out_of_distribution,0.8,945.0578002929688,852.2859497070312,42,51,795
174,out_of_distribution,1.0,882.2716064453125,784.9363403320312,42,53,830
175,out_of_distribution,0.9,775.515625,681.4575805664062,42,50,792
176,out_of_distribution,0.9,858.90087890625,763.463134765625,42,57,819
177,out_of_distribution,1.0,811.6160278320312,719.658203125,42,51,797
178,out_of_distribution,0.9,826.3726196289062,731.8629760742188,42,52,796
179,out_of_distribution,0.9,797.7326049804688,708.2503051757812,42,54,800
180,out_of_distribution,0.9,764.6958618164062,672.382568359375,42,50,776
181,out_of_distribution,1.0,808.15380859375,685.3428955078125,42,53,838
182,out_of_distribution,0.8,831.6016235351562,761.5574951171875,34,51,790
