strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
no_adaptation,500,6,6,False,0.3,0.3,0.9989,263671.8267,65127.0377,139.873,38.5003,500.2667,7721.6673,720.0647,3000,1.0983,1.0983,,0.0,0.0,0.0
no_adaptation,500,7,6,True,0.3,0.3,0.9991,267375.9454,65319.3868,140.2456,38.2454,500.2668,7727.1548,721.175,5000,1.0851,1.0851,,0.0,0.0,0.0
no_adaptation,500,8,7,False,0.3,0.4,0.9946,270868.701,98359.1443,128.1687,30.453,501.8823,9436.1673,963.079,3000,1.2393,1.2393,,0.0,0.0,0.0
no_adaptation,500,9,8,False,0.4,0.6,0.992,268633.0483,97601.2147,128.43,31.0617,501.652,9461.7087,962.4633,3000,1.2478,1.2478,,0.0,0.0,0.0
no_adaptation,500,10,9,False,0.6,1.0,0.9926,270095.6523,85340.5097,134.5967,34.8297,500.632,9077.482,897.1,3000,1.2087,1.2087,,0.0,0.0,0.0
no_adaptation,500,11,9,True,0.6,1.0,0.9921,269524.1102,84841.8536,134.6786,35.1806,500.6134,9050.763,896.9986,5000,1.198,1.198,,0.0,0.0,0.0
poolAndRewire,10,0,1,False,0.0,0.0,0.912,198298.8357,41660.6397,127.1803,39.5873,12.1293,239.4507,30.0237,3000,0.4268,,0.0284,0.3321,0.0475,3.7888
poolAndRewire,10,1,2,False,0.0,0.1,0.8327,211255.546,68078.0697,123.166,37.107,14.3223,322.621,35.4197,3000,0.4761,,0.036,0.3616,0.0581,4.9064
poolAndRewire,10,2,3,False,0.1,0.1,0.7914,202187.75,55082.547,127.4847,39.117,12.7277,272.2317,31.3707,3000,0.4674,,0.0298,0.3633,0.0541,5.2336
poolAndRewire,10,3,3,True,0.1,0.1,0.789,212021.9752,54287.1932,131.6862,38.8176,12.6584,271.1652,30.909,5000,0.4662,,0.0297,0.3618,0.0544,5.4558
poolAndRewire,10,4,4,False,0.1,0.2,0.677,211527.96,79427.972,123.475,36.3357,15.4873,365.6573,35.3667,3000,0.4888,,0.0431,0.3626,0.0623,5.6721
poolAndRewire,10,5,5,False,0.2,0.3,0.6854,220900.408,70481.886,129.9197,37.5117,13.8957,317.2207,33.5697,3000,0.4774,,0.0352,0.3616,0.0602,5.8767
